tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2006-06-12,2006-12-04,125,126,2007-09-10,280,True,0.011461918361209465,6.32860305445712,-0.29018618675799096,-0.030374780403041812,0.015617755555451834,0.0341546713221319,0.1,6.0,2.6666745914117835,True
2007-06-01,2006-03-29,2006-12-04,175,176,2008-02-09,432,True,0.016895321944042013,5.885617993026934,-0.00022939053047474166,-0.00018823153208411808,-1.7470262039643572e-05,0.0001890405240324629,0.9,12.849506443848579,-3.0490451642029135,True
2007-06-01,2006-01-18,2006-12-04,225,226,2007-10-26,326,True,0.01645959035466096,5.9946885927904265,-0.0007699592568906633,7.011326015641896e-05,0.00016108940663007876,0.0001756862720254276,0.9,13.0,1.1602806876060485,True
2007-06-01,2005-11-08,2006-12-04,275,276,2007-10-29,329,True,0.01574405765194788,6.282787178583282,-0.0692639345769286,0.0015890591059077395,0.005652381536398009,0.005871501160272509,0.3155578992333256,13.0,1.2967392491139484,True
2007-06-01,2005-08-30,2006-12-04,325,326,2007-10-28,328,True,0.016029763075343057,6.239265153134609,-0.051684448963423495,0.0014609449970351936,0.00462772374784601,0.004852853528671567,0.34788912101083685,13.0,1.2650041999692268,True
2007-06-01,2005-06-21,2006-12-04,375,376,2007-05-14,161,True,0.017236680640129533,6.0848973730921125,-0.028600133515511106,0.0011145384884837782,-0.003681267052347698,0.0038462869306660438,0.4032119682742471,8.089491383667225,-1.2768098284711382,True
2007-06-01,2005-04-12,2006-12-04,425,426,2007-03-25,111,True,0.020978656861520645,5.982900855550374,-0.006396611496579995,-0.00033322018928197373,-0.0011184015592550487,0.0011669866075877816,0.6062566747189593,6.0,-1.8603651231586356,True
2007-06-01,2005-01-28,2006-12-04,475,476,2007-03-31,117,True,0.020172631322888726,5.98242828439446,-0.005584491334962562,-0.00017352240672198905,-0.0009854899745893768,0.0010006500465451257,0.6274625841967998,6.0,-1.745087082677966,True
2007-06-01,2004-11-17,2006-12-04,525,526,2007-05-14,161,True,0.0217210642389094,6.026314306748778,-0.005450274710828443,0.00041411944426114275,-0.0005850269621590819,0.0007167645782041978,0.6494822249216547,6.0,-0.9548120783139242,True
2007-06-01,2004-09-08,2006-12-04,575,576,2007-08-16,255,True,0.02277906982361824,6.647800923194659,-0.15429189257325257,0.006438246679650032,0.002458348942984438,0.006891625340476467,0.2830753989783804,6.0,0.3647496310338481,True
2007-06-01,2004-06-30,2006-12-04,625,626,2007-10-17,317,True,0.023283717858064136,8.855105444871803,-1.648981347233967,0.00925044267280023,0.02107362852617467,0.023014528213760245,0.1,6.0,1.1571625840673403,True
2007-06-01,2006-07-10,2007-01-05,125,126,2007-03-26,80,True,0.010381687291722678,7.014996150360364,-0.6774270868679554,0.0034206670524939975,-0.009070622760050676,0.00969418177770395,0.108138833218753,6.0,-1.2101727825190842,True
2007-06-01,2006-04-28,2007-01-05,175,176,2008-05-19,500,False,0.01705773840359469,3.953260864392017,0.006090260291069935,0.000696763511778824,-0.0010980002132216088,0.0013004168022526692,0.9,6.0,-1.0053412118531007,True
2007-06-01,2006-02-15,2007-01-05,225,226,2008-01-15,375,True,0.01836982404271258,6.038989661825337,-0.0008002089962138132,-0.00014910121463884523,-4.754076611320426e-06,0.00014917698700270528,0.9,13.0,-3.109718556970268,True
2007-06-01,2005-12-06,2007-01-05,275,276,2008-01-03,363,True,0.017445074269467054,6.044733698329763,-0.000841485204373624,-0.00014011077102405825,4.464959724263055e-05,0.00014705310160239803,0.9,13.0,2.833093407426621,True
2007-06-01,2005-09-27,2007-01-05,325,326,2007-12-18,347,True,0.017821647851704616,6.2825485064281406,-0.037819707661113436,-0.002393461135067534,0.0019964777275541844,0.0031168220227819694,0.40605760114247813,13.0,2.446379472274773,True
2007-06-01,2005-07-19,2007-01-05,375,376,2007-12-21,350,True,0.01732957938245019,6.366948651992848,-0.06444218073496102,-0.003590306905644499,0.0025862524107637137,0.004424816968971677,0.3465116927248552,13.0,2.517343748377863,True
2007-06-01,2005-05-10,2007-01-05,425,426,2007-03-07,61,True,0.020082489885898742,6.03424716191972,-0.019527456092040027,-0.0019045046285920434,-0.0022507057750758594,0.002948357910140549,0.45499672487884923,6.0,-2.2730691249853683,True
2007-06-01,2005-02-25,2007-01-05,475,476,2007-04-06,91,True,0.020403341737300282,6.009556895585556,-0.008159871618448045,-0.00012384242553096364,-0.0012977155510148775,0.001303611367588991,0.5808709206272378,6.0,-1.6659393018377333,True
2007-06-01,2004-12-15,2007-01-05,525,526,2007-04-27,112,True,0.021017439560536207,6.00437481755435,-0.004966070979083608,0.00023320059699769016,-0.0006997953830502823,0.0007376286983154671,0.6552592669624341,6.0,-1.2491287669780218,True
2007-06-01,2004-10-06,2007-01-05,575,576,2007-06-10,156,True,0.02247186274236392,6.020797385438209,-0.0031676632000758377,0.00032187660637118294,-0.00018895156658881387,0.00037323885682682663,0.7284371420115267,6.0,-0.5308289367329826,True
2007-06-01,2004-07-28,2007-01-05,625,626,2007-09-08,246,True,0.023516963533913943,6.211842743724775,-0.013731159846318645,0.0007456136865283645,0.000571440651588219,0.0009394062953940572,0.5600409578418809,6.0,0.6539167152374862,True
2007-06-01,2004-05-18,2007-01-05,675,676,2007-08-11,218,True,0.023041449877434117,6.111494745889718,-0.005888860160683037,0.00046623463926424445,0.0001570282963775232,0.00049196811351254,0.6609412271540025,6.0,0.3248682080067615,True
2007-06-01,2006-08-07,2007-02-02,125,126,2007-02-03,1,True,0.007653020775961316,5.933278203286285,-0.0013748089069781349,1.8183807346192082e-06,-0.0002654706889218467,0.00026547691648265003,0.8684746135407166,6.56321703176257,-1.563946786061271,True
