t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2006-09-06,2007-03-27,140,141,202.0,2007-06-02,67,67.33333333333331,40.400000000000006,False,0.017997145676322518,0.04566951260176317,5.980041339310767,-0.000945043316708916,0.00014141211344139413,5.6789018027197154e-05,0.00015238890509631942,0.9,10.7025792789371,0.3818722189722821,0.5214977300153102,True
2006-08-23,2007-03-27,150,151,216.0,2007-06-07,72,72.0,43.2,False,0.017355959060665827,0.04548562655224175,5.982026525815197,-0.000938458183079714,-0.0001239923006227676,7.758359408066535e-05,0.00014626450247479813,0.9,11.068271081601447,2.582480785286251,0.5217214703409938,True
2006-08-09,2007-03-27,160,161,230.0,2007-06-11,76,76.66666666666663,46.0,False,0.016942419775511947,0.046214339643794976,5.987794768486337,-0.0009760579724945291,-0.00013310770055098776,-6.4496749183425e-05,0.00014791041410665124,0.9,11.183905720229893,-2.6903848353748314,0.5310383336378554,True
2006-07-26,2007-03-27,170,171,244.0,2007-06-16,81,81.33333333333331,48.800000000000004,False,0.016683949161393034,0.047598561295011,5.994554152479974,-0.0010218579162793947,-7.214520304649731e-05,-0.00012748169344384183,0.00014648041673182797,0.9,11.218567865827469,-2.0857845062718128,0.5596493926841148,True
2006-07-12,2007-03-27,180,181,258.0,2007-06-21,86,86.0,51.6,False,0.017845386531020167,0.05764086549991439,6.005911546089788,-0.0011123647835775366,-0.00013904785286558048,2.0620097171833977e-05,0.00014056846657022333,0.9,10.887933089954474,2.994370632611246,0.6541184363968562,True
2006-06-28,2007-03-27,190,191,272.0,2007-06-25,90,90.66666666666663,54.400000000000006,False,0.017633155018416505,0.05938727777756987,6.0112606895672,-0.001136950218247052,-8.032858593335757e-05,-0.00010868932816532033,0.00013515195808822567,0.9,11.027491797447869,-2.2072628649673813,0.6865700797379519,True
2006-06-14,2007-03-27,200,201,286.0,2007-06-06,71,95.33333333333331,57.2,False,0.018460423180331767,0.06849823202338301,6.002435065512646,-0.0011722668737645242,8.517580902906998e-05,0.00010624425268865092,0.00013617180204846563,0.9,9.418567492974145,0.8950208522587424,0.8226156416045819,True
2007-02-19,2007-04-02,30,31,42.0,2007-04-16,14,14.0,8.4,False,0.012291781523473138,0.004683724683644664,5.919079727656671,-0.00042800734042320476,0.0007873334561135311,-0.0006909600745967988,0.001047530331686148,0.9,6.0,-0.7202979675080365,0.061288059277615346,True
2007-02-05,2007-04-02,40,41,56.0,2007-04-20,18,18.666666666666657,11.200000000000001,False,0.010724200729933929,0.004715347733132532,5.916061068576898,-0.00023486528921952448,0.0008619521074939725,0.0002886006779610907,0.0009089839310641866,0.9,6.090187226290836,0.3230899113905397,0.038183391165982614,True
2007-01-22,2007-04-02,50,51,70.0,2007-04-25,23,23.33333333333333,14.0,False,0.010288804447125238,0.005398834344510389,5.86582437790166,0.01852670779928641,-0.009880249073572465,0.002388523353789546,0.010164859348137956,0.2338495232508955,6.561574184094308,2.904396209796662,0.06495690499513755,True
