t1,t2,dt,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested
2019-02-22,2021-05-05,551,551,2022-09-17,500,2022-09-17,False,0.05740233351547046,1.815560369054738,6.833842998333118,-0.3490876399531394,-0.02941679693750253,0.00436601891491387,0.029739032654537437,0.1403228684521575,8.477029964026002,2.994249029899363,0.1943087553848898,True,550
2019-01-18,2021-05-05,576,576,2022-09-17,500,2022-09-17,False,0.05617745354129049,1.8178020209570982,6.629209226130168,-0.19704233372235544,-0.021295931236431614,0.005091529018913136,0.021896126483404738,0.1868576952442304,8.46481653097228,2.9069134052204193,0.19864868191241936,True,575
2018-12-06,2021-05-05,601,601,2022-09-17,500,2022-09-17,False,0.055237269650443926,1.8337447310199482,6.276490506692998,-0.017557335742114745,-0.0022404123862346634,0.003467930967877422,0.0041286793116391265,0.44040025654989634,8.3555232887919,2.144380696091737,0.22414103460519316,True,600
2018-11-01,2021-05-05,626,626,2022-09-17,500,2022-09-17,False,0.054927881447678004,1.8886871723666863,7.149935679634899,-0.6191493400939739,-0.03819784579861897,-0.0021405576769313317,0.03825777582169856,0.1,8.50679865449417,-3.0856125019729896,0.190243375327686,True,625
2018-09-27,2021-05-05,651,651,2022-07-21,442,2022-09-17,False,0.05573828680851566,2.0224985572427765,7.045420606080273,-0.5693990768659172,-0.0317231236462582,-0.018041343444848312,0.03649447420049722,0.1,7.724686046214597,-2.624496280311873,0.20198020580574516,True,650
2018-08-23,2021-05-05,676,676,2022-02-26,297,2022-09-17,False,0.057654635312490925,2.247062513759036,6.872832523123269,-0.4908974094699728,-0.03311837862666507,-0.010642145593103586,0.034786236727820385,0.1,6.0,-2.830677777872011,0.23519714291551802,True,675
2018-07-18,2021-05-05,701,701,2022-03-25,324,2022-09-17,False,0.059764123229224385,2.5037970481759,6.842088926347161,-0.47126243685256375,-0.025648753880670394,-0.01875926699731098,0.03177685752096336,0.1,6.0,-2.5101080860755736,0.247172771642418,True,700
2018-06-13,2021-05-05,726,726,2022-04-24,354,2022-09-17,False,0.06075874065332642,2.680119434754959,6.84622905198225,-0.4699236404360586,-0.016525811243849456,-0.024532460967762224,0.02957945365286719,0.1,6.0,-2.1636044871212614,0.2647804373214018,True,725
2018-05-07,2021-05-05,751,751,2022-09-17,500,2022-09-17,False,0.06029314971255675,2.7300831905978473,6.049409832006801,-0.052184001922155505,0.02443163031160657,0.014355143616847357,0.028336808358446552,0.1,10.946426017513385,0.5312251103443841,0.0168234128320921,True,750
2020-11-10,2021-05-12,126,126,2021-08-26,106,2022-09-24,True,0.00874255132597525,0.009630457664601263,6.799846175868037,-0.29401156100444364,0.0004788969267842079,0.0024149184883294657,0.0024619450789485193,0.1847807194689229,13.0,1.3750285085045075,1.6974592175144705,True,125
2020-10-06,2021-05-12,151,151,2021-08-02,82,2022-09-24,True,0.017912321154484042,0.04844853862034786,6.187083453305856,-0.0016277190946922349,9.506270535773688e-06,-0.00014117970625141446,0.00014149939447479976,0.9,10.268577207088734,-1.5035632747447132,1.008224190789397,True,150
2020-09-01,2021-05-12,176,176,2021-09-03,114,2022-09-24,False,0.01750254761756089,0.053915694466477614,6.214307946385369,-0.001612347433803972,6.1570137554706e-05,0.00012028852825555952,0.00013513035139595383,0.9,12.763031678525106,1.0977107278487346,0.8413842669211723,True,175
2020-07-28,2021-05-12,201,201,2021-08-31,111,2022-09-24,False,0.016898575688807555,0.057397933922381905,6.208000748850049,-0.0015793574929366075,0.00014704581149228,3.6563573155631146e-05,0.00015152348187436274,0.9,12.641227077447832,0.24371172038778194,0.7420852174384336,True,200
2020-06-23,2021-05-12,226,226,2021-07-08,57,2022-09-24,False,0.016940320582764894,0.06485622828698763,6.1712869626733315,-0.0029093210609778446,-0.0002144294771947707,-0.0003040338532409913,0.0003720437939363958,0.7915254400656806,9.22359194881607,-2.185058189203149,0.6710615919055852,True,225
2020-05-15,2021-05-12,251,251,2021-05-13,1,2022-09-24,False,0.017854360936762636,0.08001332931950908,6.100204197162356,-0.0013902914752092817,-0.0002338477546044734,-0.00013985022713377399,0.0002724754270809061,0.9,7.2148230164200315,-2.602615840736305,0.6364955112271161,True,250
2020-04-07,2021-05-12,276,276,2021-05-17,5,2022-09-24,False,0.017978100487787634,0.08920653881312123,6.1043981658144455,-0.0013977375437803968,-7.092206092870086e-05,-0.0002523920271075898,0.00026216726354343463,0.8995118077369958,7.32729353376614,-1.8447317262164245,0.6545012018981367,True,275
2020-03-03,2021-05-12,301,301,2021-08-29,109,2022-09-24,False,0.03295967124165125,0.32698831843567744,6.3072402468993,-0.014866841914636768,-0.0012044852659175676,-8.048016572155992e-05,0.0012071709957114955,0.5607518203168884,12.030653474824733,-3.074874762243618,0.5740257906965355,True,300
2020-01-28,2021-05-12,326,326,2021-05-13,1,2022-09-24,False,0.059533628671953324,1.1554264593691075,6.091218033750494,-0.0041425923340687,-0.00040789103259849916,-0.0014202917797231332,0.0014777022142581282,0.6692925514448727,11.898119518116122,-1.8504581254824892,0.1576968207069234,True,325
2019-12-16,2021-05-12,351,351,2021-05-13,1,2022-09-24,False,0.061715318332766125,1.3368819614370453,6.046224003846905,-0.0007574478662747663,-0.00038259634552147696,0.00036991403670305465,0.000532180757033114,0.9,11.536685638500217,2.3730462288304537,0.11103375575562761,True,350
2019-11-11,2021-05-12,376,376,2022-09-24,500,2022-09-24,False,0.06165633217418963,1.4293652397374284,5.785039871374822,0.0006021987433254905,0.0003786745496036981,-0.0002093330712480111,0.0004326831973114839,0.9,6.0,-0.5049939818552946,0.20876662662219386,True,375
2019-10-07,2021-05-12,401,401,2022-09-24,500,2022-09-24,False,0.06268818600598179,1.5758532745529494,6.071566253971188,-0.00026023000222006416,-0.00024985719213194623,2.5180985444285363e-07,0.00024985731902080254,0.9,7.53684447393695,3.1405848388175204,0.12437074782517928,True,400
2019-09-02,2021-05-12,426,426,2022-09-24,500,2022-09-24,False,0.06215451132820413,1.6457160766187864,6.145343024732121,-0.0004910531170897541,3.4974295714966356e-05,-0.00020842789222919682,0.00021134187379661325,0.9,8.763130104484565,-1.4045447045735733,0.23863061931238846,True,425
2019-07-26,2021-05-12,451,451,2022-09-24,500,2022-09-24,False,0.06134632082331474,1.697280356429234,6.166222186355543,-0.0005571219743006395,-0.00015645241670094506,0.0001340084368078104,0.00020599907724851358,0.9,9.346834423824745,2.433311493336854,0.26041318757426213,True,450
2019-06-21,2021-05-12,476,476,2022-09-24,500,2022-09-24,False,0.05997922543104809,1.7124135620548393,6.159759300969283,-0.0005353148523018705,0.00018557473030382271,8.791521247215623e-05,0.0002053462079303168,0.9,9.045837316921673,0.4424243634388618,0.25936796956309477,True,475
2019-05-15,2021-05-12,501,501,2022-09-24,500,2022-09-24,False,0.058631566481836525,1.722267954645122,6.157668140433055,-0.0005269765189740885,0.00015126693900194217,-0.00013712768873774573,0.0002041707370157961,0.9,8.868404205331071,-0.7364099492457329,0.26193576290877124,True,500
2019-04-05,2021-05-12,526,526,2022-09-24,500,2022-09-24,False,0.058432061357161114,1.7959248478791439,6.195193431593419,-0.0024489125676553473,-0.000697346706465728,0.0003685321689616436,0.0007887384792047181,0.6923166040284712,8.430085491621325,2.6554233001638026,0.25498405292702686,True,525
2019-03-01,2021-05-12,551,551,2022-09-24,500,2022-09-24,False,0.05744600747227751,1.8183241197522348,6.52087180042081,-0.11548503299882845,-0.012918736337714797,0.008512105626569712,0.015470930507285995,0.24052477743690634,8.405524921244384,2.5589889493017877,0.21360147570258287,True,550
2019-01-25,2021-05-12,576,576,2022-09-24,500,2022-09-24,False,0.056231467915720854,1.8212993187590845,6.590000029852168,-0.15715963767650232,-0.015249422712445442,0.010904313850810593,0.018746971852003903,0.21137199961256947,8.399121278180832,2.520827977804025,0.21097135647542775,True,575
2018-12-13,2021-05-12,601,601,2022-09-24,500,2022-09-24,False,0.05527755625625222,1.8364205436235403,6.269182667259529,-0.012880631105222693,-0.000583311745814269,0.0030952981959394706,0.0031497815026745955,0.48228222024865497,8.290136656998165,1.7570627283098625,0.23790100468629938,True,600
