t1,t2,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested,positive_bubble_confidence,event_date,tc_error_days,abs_tc_error_days,hit_pm_60d,hit_pm_120d,ci_bin
2012-08-27,2014-07-25,476,2014-09-14,51,2015-12-07,True,0.0169805408525795,0.1372492533995545,5.88128127191554,-0.0007248876180936,5.000220951318256e-05,1.6120562014265294e-07,5.000246937354364e-05,0.9,13.0,0.0032239587648793,1.003640980839991,True,475,0.6923076923076923,2015-07-20,-309,309,0,0,High CI
2012-07-20,2014-07-25,501,2014-09-10,47,2015-12-07,True,0.0176812093928463,0.1566252079624323,5.880584815504508,-0.0007327084245265,-1.182909513320486e-05,4.34619931389235e-05,4.504300544233526e-05,0.9,12.278322334909385,1.8365305627229729,1.1923597392160246,True,500,0.6923076923076923,2015-07-20,-313,313,0,0,High CI
2012-06-15,2014-07-25,526,2014-12-13,141,2015-12-07,True,0.0187162513819138,0.1842567826060608,5.929423855103839,-0.000798034829989,-4.596367053320779e-05,2.2316502438485112e-06,4.601781472099847e-05,0.9,10.117585408407152,3.093078270264307,1.5426289787547036,True,525,0.6923076923076923,2015-07-20,-219,219,0,0,High CI
2012-05-09,2014-07-25,551,2014-11-14,112,2015-12-07,True,0.0202110416723079,0.2250758992193525,5.922898976787572,-0.0008241181998945,-5.5166183849161975e-05,3.538408481197454e-05,6.553885335021163e-05,0.9,9.11439415532287,2.5712805532652654,1.2416676605373744,True,550,0.6923076923076923,2015-07-20,-248,248,0,0,High CI
2012-03-30,2014-07-25,576,2015-01-11,170,2015-12-07,True,0.0213979158650437,0.2637335827396738,5.942165162676397,-0.0008028827875823,-3.812297868498135e-05,-3.411599071004234e-05,5.115918613448847e-05,0.9,11.13820756834052,-2.411606217002364,1.268106483614105,True,575,0.6923076923076923,2015-07-20,-190,190,0,0,High CI
2011-12-13,2014-07-25,651,2015-02-23,213,2015-12-07,True,0.0249275592574624,0.4045204700578291,5.957673761714986,-0.0007962836555881,-3.174043226431811e-05,-3.654456650841397e-05,4.8404135996975074e-05,0.9,13.0,-2.285956056686364,1.1388970976716102,True,650,0.6923076923076923,2015-07-20,-147,147,0,0,High CI
2011-11-07,2014-07-25,676,2014-11-03,101,2015-12-07,True,0.0266313436476462,0.4794384419878221,5.916624441791093,-0.0008115933983181,-1.3438859533818748e-05,4.3357586849880606e-05,4.53925465579389e-05,0.9,13.0,1.8713600726512716,1.2378075153034662,True,675,0.6923076923076923,2015-07-20,-259,259,0,0,High CI
2011-10-03,2014-07-25,701,2014-10-31,98,2015-12-07,True,0.0266479053767865,0.4977877135400874,5.916525754752222,-0.0008152468530882,-9.064408580925556e-06,4.597321199571999e-05,4.685829408040127e-05,0.9,13.0,1.7654665436492514,1.2044861610929185,True,700,0.6923076923076923,2015-07-20,-262,262,0,0,High CI
2011-08-29,2014-07-25,726,2014-10-27,94,2015-12-07,True,0.027037768613798,0.5307357163512422,5.916501280424173,-0.0008229140822457,-2.797048683884581e-07,5.1198734119256846e-05,5.119949814429586e-05,0.9,13.0,1.576259393227854,1.1127252607855898,True,725,0.6923076923076923,2015-07-20,-266,266,0,0,High CI
2011-07-22,2014-07-25,751,2014-11-04,102,2015-12-07,True,0.0316982206241281,0.7545876702426648,5.914160620238628,-0.000800502677572,-9.553485986368574e-06,3.146070140824142e-05,3.287924615301063e-05,0.9,13.0,1.8656112935422495,1.6855440018818284,True,750,0.6923076923076923,2015-07-20,-258,258,0,0,High CI
2013-10-03,2014-07-28,201,2014-12-31,156,2015-12-10,True,0.0147754108316021,0.0438808658137679,5.951501528395457,-0.0048210724763687,0.0002036451225108,4.488338263240423e-05,0.000208532620851,0.6020544715963994,13.0,0.21693179560702,1.0706859233980213,True,200,0.6923076923076923,2015-07-20,-201,201,0,0,High CI
2013-08-29,2014-07-28,226,2014-10-06,70,2015-12-10,True,0.0146782431188885,0.0486918855589272,5.881357470627044,-0.0006418671981234,-3.952455756587128e-05,-3.989710282396357e-05,5.616021246864896e-05,0.9,7.403317287583018,-2.3515037984598925,1.3894169313325004,True,225,0.6923076923076923,2015-07-20,-287,287,0,0,High CI
2013-07-24,2014-07-28,251,2014-10-01,65,2015-12-10,True,0.0143398022399053,0.0516131119981785,5.881501293018243,-0.0006603618598777,-2.683102137536029e-05,6.0298967991419074e-05,6.599900945374274e-05,0.9,7.062609040867296,1.9894565239816744,1.275034417358702,True,250,0.6923076923076923,2015-07-20,-292,292,0,0,High CI
2013-06-19,2014-07-28,276,2015-12-08,498,2015-12-10,True,0.0151527654097295,0.0633713386791934,6.258365021410832,-0.0013940017475689,-9.0319239000195e-05,0.000100745320204,0.0001353040445684,0.9,6.0,2.3016801883627385,1.5454102854218734,True,275,0.6923076923076923,2015-07-20,141,141,0,0,High CI
2013-04-05,2014-07-28,326,2014-10-01,65,2015-12-10,True,0.0184054258602558,0.110435662557744,5.883821756640639,-0.000684183002501,-2.369841540344933e-05,8.02467835770105e-05,8.367294166628783e-05,0.9,7.021182459640487,1.8579532903560056,1.0481404778359733,True,325,0.6923076923076923,2015-07-20,-292,292,0,0,High CI
2013-02-27,2014-07-28,351,2014-10-09,73,2015-12-10,True,0.0179144903491111,0.1126460665284069,5.887775391709372,-0.0006925916956848,-6.695885183733669e-05,-4.193142727337235e-05,7.900463551309203e-05,0.9,7.302334888444871,-2.582111633985625,1.080451979694364,True,350,0.6923076923076923,2015-07-20,-284,284,0,0,High CI
2013-01-23,2014-07-28,376,2015-03-03,218,2015-12-10,True,0.0178271579520983,0.1194956428040483,5.957992597154629,-0.0007846487945441,-3.9576661154493866e-05,8.168050395130594e-06,4.041075544202331e-05,0.9,12.797015828515043,2.938064763405816,1.3655642700002466,True,375,0.6923076923076923,2015-07-20,-139,139,0,0,High CI
2012-12-11,2014-07-28,401,2015-03-03,218,2015-12-10,True,0.0173372345368997,0.1205324602563756,5.958609792899136,-0.0007874380694895,-3.5179188070532275e-05,-2.05698418975077e-05,4.075160940368299e-05,0.9,12.9176887976106,-2.612487034523993,1.3462612147783055,True,400,0.6923076923076923,2015-07-20,-139,139,0,0,High CI
2012-08-28,2014-07-28,476,2014-09-14,48,2015-12-10,True,0.0170216374110147,0.1379144027123796,5.880943761043877,-0.0007238561570774,5.010804228196675e-05,-6.582944488678077e-08,5.010808552366755e-05,0.9,13.0,-0.0013137493307729,1.0001004437343992,True,475,0.6923076923076923,2015-07-20,-309,309,0,0,High CI
2012-07-23,2014-07-28,501,2014-09-11,45,2015-12-10,True,0.0176678178269359,0.1563880451696636,5.880836795446686,-0.0007313743695458,-3.762825007810998e-05,2.5345093794257936e-05,4.536803922785859e-05,0.9,12.389530975489144,2.548829080221652,1.1710552099853622,True,500,0.6923076923076923,2015-07-20,-312,312,0,0,High CI
2012-06-18,2014-07-28,526,2014-12-17,142,2015-12-10,True,0.018653345149745,0.1830202720549212,5.930569633954035,-0.0007958045888005,-2.880948854111441e-05,-3.4427157605051054e-05,4.489115515069341e-05,0.9,10.251449926011198,-2.267591422265895,1.5563342424093227,True,525,0.6923076923076923,2015-07-20,-215,215,0,0,High CI
2012-05-10,2014-07-28,551,2014-11-15,110,2015-12-10,True,0.0202450120798232,0.225833143275816,5.923090308665698,-0.0008236379949498,-5.8688024727192046e-05,2.9627657783745068e-05,6.574254598150436e-05,0.9,9.12808837288344,2.674086039704437,1.2352433579558098,True,550,0.6923076923076923,2015-07-20,-247,247,0,0,High CI
2012-04-02,2014-07-28,576,2015-01-08,164,2015-12-10,True,0.0213001136094759,0.2613282277113116,5.9407963468620535,-0.0008030334304807,-5.095304069930937e-05,7.838819644962784e-06,5.155249217963892e-05,0.9,11.009573576565623,2.9889454282518195,1.2733739811127531,True,575,0.6923076923076923,2015-07-20,-193,193,0,0,High CI
2011-12-14,2014-07-28,651,2015-02-25,212,2015-12-10,True,0.0248395732792333,0.4016698648520569,5.9578588634668765,-0.000794427855395,-3.07260562961014e-05,-3.828090601868754e-05,4.908684448121289e-05,0.9,13.0,-2.2471492411904204,1.1204397452845156,True,650,0.6923076923076923,2015-07-20,-145,145,0,0,High CI
2011-11-08,2014-07-28,676,2014-11-04,99,2015-12-10,True,0.0266586408493922,0.4804217971893342,5.916788266163553,-0.000810794307656,-1.444796823362019e-05,4.282986111122144e-05,4.52011149075575e-05,0.9,13.0,1.8961431466091112,1.241825864732673,True,675,0.6923076923076923,2015-07-20,-258,258,0,0,High CI
2011-10-04,2014-07-28,701,2014-11-02,97,2015-12-10,True,0.0266088414099362,0.4963293392665772,5.916598472335189,-0.0008139205735375,-1.0480533963408633e-05,4.516366978702107e-05,4.636376452348581e-05,0.9,13.0,1.79881723966155,1.2153531530039647,True,700,0.6923076923076923,2015-07-20,-260,260,0,0,High CI
2011-08-30,2014-07-28,726,2014-10-28,92,2015-12-10,True,0.0270743110512556,0.5321712995215041,5.9164958927681015,-0.0008223719393917,-6.661553773106645e-07,5.105708605361589e-05,5.106143162185191e-05,0.9,13.0,1.5838428524101693,1.1149989365658215,True,725,0.6923076923076923,2015-07-20,-265,265,0,0,High CI
2011-07-25,2014-07-28,751,2014-11-03,98,2015-12-10,True,0.0310356615777119,0.7233724294642674,5.914377789599682,-0.0008025560944701,-9.002606728975905e-06,3.366201368054804e-05,3.484505837197013e-05,0.9,13.0,1.8321216188405431,1.5945324349264534,True,750,0.6923076923076923,2015-07-20,-259,259,0,0,High CI
2013-08-30,2014-07-29,226,2014-11-10,104,2015-12-11,True,0.0146211370137056,0.0483137483516228,5.893141268562933,-0.0006408152994326,2.829198667485192e-05,3.688007770372424e-05,4.648200341468445e-05,0.9,8.907747259692094,0.9164189078650564,1.39290871898214,True,225,0.6538461538461539,2015-07-20,-252,252,0,0,High CI
2013-07-25,2014-07-29,251,2014-09-30,63,2015-12-11,True,0.01437240573982,0.0518480777342532,5.880601446903936,-0.0006569174143071,-4.566631760953295e-06,6.651787761175967e-05,6.6674449136181e-05,0.9,7.008258621762913,1.6393414709458505,1.265271506590986,True,250,0.6538461538461539,2015-07-20,-293,293,0,0,High CI
2013-06-20,2014-07-29,276,2015-12-05,494,2015-12-11,True,0.0151601256620027,0.0634329171842087,6.252829966050706,-0.0013838081586516,-8.604726006121381e-05,0.0001039139196533,0.0001349156538795,0.9,6.0,2.262416101099458,1.5385258702671774,True,275,0.6538461538461539,2015-07-20,138,138,0,0,High CI
2013-04-08,2014-07-29,326,2014-10-04,67,2015-12-11,True,0.0183743684333391,0.1100632773956535,5.884574597394891,-0.0006824643010047,-6.945105030657729e-05,4.759035707965618e-05,8.41919858160853e-05,0.9,7.128002185683333,2.5408443186456764,1.02349062939395,True,325,0.6538461538461539,2015-07-20,-289,289,0,0,High CI
2013-02-28,2014-07-29,351,2014-10-03,66,2015-12-11,True,0.0178922811090649,0.1123669368733168,5.884186276274432,-0.0006839129905603,-3.992403176462594e-05,7.270552162781592e-05,8.294589313230445e-05,0.9,7.052503485562652,2.0729634063811364,1.0522166389901195,True,350,0.6538461538461539,2015-07-20,-290,290,0,0,High CI
2013-01-24,2014-07-29,376,2015-02-05,191,2015-12-11,True,0.0178613801870979,0.1199548672227092,5.94596997654023,-0.0007766757521349,-3.385834209870972e-05,2.533973935977044e-05,4.2290539373414927e-05,0.9,11.825153165836264,2.4991133756733417,1.3977588711257165,True,375,0.6538461538461539,2015-07-20,-165,165,0,0,High CI
