t2,total_fits,valid_fits,mean_tc,median_tc,mean_rmse,positive_bubble_confidence
2011-05-27,23,0,2011-11-13 16:41:44.347826176,2011-11-18,0.027194011988382828,0.0
2011-06-08,23,0,2011-12-02 13:33:54.782608640,2011-12-02,0.027324512817248937,0.0
2011-06-16,23,0,2011-12-08 18:46:57.391304448,2011-12-19,0.027656856941655227,0.0
2011-06-23,23,0,2011-12-26 01:02:36.521739008,2012-01-02,0.02815307607817292,0.0
2011-06-30,23,0,2011-12-28 19:49:33.913043456,2012-01-12,0.02836736688707064,0.0
2011-07-07,23,0,2012-01-05 10:26:05.217391360,2012-01-19,0.028002260220024427,0.0
2011-07-14,23,0,2012-01-17 03:07:49.565217280,2012-01-26,0.02783271066388704,0.0
2011-07-21,23,0,2012-01-17 05:13:02.608695552,2012-01-22,0.028091606389886208,0.0
2011-07-28,23,0,2012-01-11 05:13:02.608695552,2012-01-20,0.027911024191848578,0.0
2011-08-05,23,0,2012-01-18 17:44:20.869565184,2012-01-28,0.030186106911342027,0.0
2011-08-12,23,0,2012-01-19 20:52:10.434782720,2012-01-26,0.03564457685787788,0.0
2011-08-19,23,0,2012-01-08 18:46:57.391304448,2012-01-23,0.03869885175793149,0.0
2011-08-26,23,0,2012-01-20 06:15:39.130434816,2012-02-08,0.041482617982019576,0.0
2011-09-02,23,0,2012-01-31 19:49:33.913043456,2012-02-15,0.04249208800524669,0.0
2011-09-09,23,0,2012-02-18 17:44:20.869565184,2012-03-03,0.04362143994553959,0.0
2011-09-16,23,0,2012-03-03 13:33:54.782608640,2012-03-15,0.044238808079673515,0.0
2011-09-23,23,0,2012-03-27 12:31:18.260869632,2012-03-26,0.04438194506433899,0.0
2011-09-30,23,0,2012-04-05 13:33:54.782608640,2012-04-11,0.04371688723019368,0.0
2011-10-07,23,0,2012-04-19 09:23:28.695652096,2012-04-19,0.04248517920656345,0.0
2011-10-14,23,0,2012-04-23 11:28:41.739130368,2012-04-26,0.04113431014639427,0.0
2011-10-21,23,0,2012-04-27 01:02:36.521739008,2012-05-03,0.03954193308468577,0.0
2011-10-28,23,0,2012-05-11 21:54:46.956521728,2012-05-10,0.03814382975363817,0.0
2011-11-04,23,0,2012-05-14 17:44:20.869565184,2012-05-17,0.036992274546397634,0.0
2011-11-11,23,0,2012-05-26 22:57:23.478260992,2012-05-28,0.036249644159885096,0.0
2011-11-18,23,0,2012-06-06 00:00:00.000000000,2012-06-07,0.035129425842560014,0.0
2011-11-28,23,0,2012-06-12 21:54:46.956521728,2012-06-20,0.035171430216692584,0.0
2011-12-05,23,0,2012-06-20 12:31:18.260869632,2012-06-21,0.03464845279017969,0.0
2011-12-12,23,0,2012-06-25 15:39:07.826086912,2012-06-24,0.03413971507800343,0.0
2011-12-19,23,0,2012-06-30 00:00:00.000000000,2012-07-01,0.03369750190922104,0.0
2011-12-27,23,0,2012-07-07 06:15:39.130434816,2012-07-09,0.033357404973769655,0.0
2012-01-04,23,0,2012-07-14 12:31:18.260869632,2012-07-08,0.03307503576832125,0.0
2012-01-11,23,0,2012-07-18 17:44:20.869565184,2012-07-09,0.03282250752140434,0.0
2012-01-18,23,0,2012-07-21 22:57:23.478260992,2012-07-05,0.03259616642301727,0.0
2012-01-25,23,0,2012-07-28 17:44:20.869565184,2012-07-22,0.03252335618922493,0.0
2012-02-01,23,0,2012-08-02 09:23:28.695652096,2012-07-30,0.03220327723309641,0.0
2012-02-08,23,0,2012-08-07 07:18:15.652173824,2012-08-11,0.032268750835246496,0.0
2012-02-15,23,0,2012-08-12 19:49:33.913043456,2012-08-17,0.032175058670833215,0.0
2012-02-23,23,0,2012-08-19 05:13:02.608695552,2012-08-23,0.03211554725600323,0.0
2012-03-01,23,0,2012-08-25 11:28:41.739130368,2012-08-30,0.03191554856660092,0.0
2012-03-08,23,0,2012-08-30 18:46:57.391304448,2012-09-05,0.03167676735242847,0.0
2012-03-15,23,0,2012-09-11 10:26:05.217391360,2012-09-16,0.03173391364971292,0.0
2012-03-22,23,0,2012-09-21 18:46:57.391304448,2012-09-23,0.03181745656857592,0.0
2012-03-29,23,0,2012-09-30 06:15:39.130434816,2012-10-02,0.03155950432006436,0.0
2012-04-05,23,0,2012-10-09 05:13:02.608695552,2012-10-07,0.031337721216558964,0.0
2012-04-16,23,0,2012-10-18 02:05:13.043478272,2012-10-19,0.030931492222873405,0.0
2012-04-23,23,0,2012-10-29 01:02:36.521739008,2012-10-26,0.030804219971501515,0.0
2012-04-30,23,0,2012-11-09 06:15:39.130434816,2012-11-12,0.03070221852161623,0.0
2012-05-08,23,0,2012-11-19 19:49:33.913043456,2012-11-20,0.03062503535530941,0.0
2012-05-15,23,0,2012-11-28 00:00:00.000000000,2012-11-27,0.03039888350668677,0.0
2012-05-23,23,0,2012-12-07 10:26:05.217391360,2012-12-08,0.030060447185472627,0.0
2012-05-31,23,0,2012-12-15 09:23:28.695652096,2012-12-23,0.02972481962247131,0.0
2012-06-07,23,0,2012-12-23 15:39:07.826086912,2012-12-30,0.029639234668113714,0.0
2012-06-14,23,0,2012-12-12 15:39:07.826086912,2012-11-10,0.029554607757382324,0.0
