t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2022-07-21,2022-11-11,80,81,113.0,2022-12-18,37,37.66666666666666,22.6,False,0.015540268044725416,0.019561494403055026,5.994668440937286,0.0008127489816592511,-0.0018538669203875071,-0.0013985773888572485,0.002322249183685898,0.6849984849999053,6.0,-2.4952745484331356,0.0399563653657351,True
2022-07-07,2022-11-11,90,91,127.0,2022-12-23,42,42.333333333333314,25.400000000000002,False,0.014016983475409075,0.017879300143240087,6.002459246861251,0.0004793050663867422,-0.0015077064209710375,-0.0020015851336099085,0.0025058973839575892,0.6662057995382089,6.0,-2.2163781514253644,0.021237622432793264,True
2022-06-23,2022-11-11,100,101,141.0,2022-12-28,47,47.0,28.200000000000003,False,0.014291795684040607,0.020629797811310534,5.994649203645607,0.0030412939400972236,-0.00274498423197197,-0.007234013760873042,0.007737305314272875,0.41024647717067075,6.0,-1.933467204621986,0.0268758539372405,True
2022-06-09,2022-11-11,110,111,155.0,2023-01-01,51,51.66666666666666,31.0,False,0.01675904409332857,0.03117607704035657,5.660174663571688,0.22494075762572002,-0.009506314213759935,0.026368052442026405,0.028029345327998455,0.1,6.756693703274434,1.9168156597318045,0.11877388648536198,True
2022-05-24,2022-11-11,120,121,171.0,2023-01-07,57,57.0,34.2,False,0.022137681382468636,0.05929930937599552,5.9345290086356215,0.0012441914662686701,0.0001231662777285788,-0.0004974865752665582,0.0005125064141451913,0.9,8.687938001663648,-1.3280993480579895,0.2514859399371484,True
2022-05-10,2022-11-11,130,131,185.0,2023-01-11,61,61.66666666666666,37.0,False,0.022114117875600206,0.06406348143348822,5.275865543447016,0.4644594863879412,0.01098576819491999,-0.022226667179914082,0.024793382922852325,0.1,8.655430917776993,-1.1117506860304418,0.21643293815332268,True
2022-04-26,2022-11-11,140,141,199.0,2023-01-16,66,66.33333333333331,39.800000000000004,False,0.021646055749910274,0.06606579386347952,5.276635434035927,0.46196737839697016,0.022468024082445116,0.008848414080704546,0.02414759900927925,0.1,8.886196817455856,0.37516965412198977,0.2152887943561443,True
2022-04-08,2022-11-11,150,151,217.0,2023-01-22,72,72.33333333333331,43.400000000000006,False,0.020772379484910265,0.06515525416923325,5.238896390349368,0.4828210723542582,-0.023700432981497675,0.006218282959712745,0.024502603259195066,0.1,9.30855398092031,2.8850059325384425,0.2116858196568014,True
2022-03-25,2022-11-11,160,161,231.0,2023-01-27,77,77.0,46.2,False,0.0200829343922925,0.0649352048626251,5.24169259542461,0.47930473529606826,0.005305482157626877,-0.023269176878414483,0.023866351491667853,0.1,9.656283497101956,-1.3466237956683706,0.2079771772892687,True
2022-03-11,2022-11-11,170,171,245.0,2023-01-31,81,81.66666666666663,49.0,False,0.020542691296396718,0.07216237033453814,5.292901692067656,0.44623460942019266,-0.008554885538558607,0.02124022369837831,0.022898322413115565,0.1,10.25711364852546,1.9536867572548404,0.18999160740406734,True
